time,dr_imu_x,dr_imu_y,dr_imu_theta
1747685981.1941783,[1.74306753],[1.38921313],[1.35283426]
1747685981.4181986,[1.74306744],[1.38921263],[1.41275777]
1747685981.6698687,[1.74306735],[1.38921199],[1.45280267]
1747685981.8766265,[1.7430679],[1.38921727],[1.49197708]
1747685982.0729423,[1.74306793],[1.38921778],[1.52765707]
1747685982.1998918,[1.74306794],[1.38921823],[1.56428492]
1747685982.4077172,[1.74306794],[1.38921868],[1.60085132]
1747685982.6214654,[1.74306792],[1.38921903],[1.63189074]
1747685982.7917511,[1.74306792],[1.38921903],[1.63178699]
1747685983.0091918,[1.74306792],[1.38921904],[1.63177074]
1747685983.1936371,[1.74306792],[1.38921903],[1.63177156]
1747685983.4012127,[1.74306792],[1.38921904],[1.63177189]
1747685983.7171547,[1.74306792],[1.38921904],[1.6317732]
1747685983.8164144,[1.74306792],[1.38921904],[1.63177407]
1747685984.0000298,[1.74306792],[1.38921904],[1.63177485]
1747685984.2184727,[1.74306792],[1.38921903],[1.63177568]
1747685984.3975608,[1.74306792],[1.38921903],[1.6317766]
1747685984.6060243,[1.74184765],[1.40917546],[1.63190111]
1747685984.807497,[1.74062656],[1.42913271],[1.63190264]
1747685985.0039117,[1.73946657],[1.4480921],[1.63190316]
1747685985.18767,[1.73824552],[1.46804935],[1.63190322]
1747685985.40214,[1.73696345],[1.48900417],[1.63190174]
1747685985.5814304,[1.73580354],[1.50796284],[1.63190078]
1747685985.9792116,[1.73458261],[1.52791921],[1.63190063]
1747685986.04303,[1.73458261],[1.52791921],[1.63190045]
1747685986.2186942,[1.7320187],[1.56982758],[1.63189996]
1747685986.4001915,[1.73091987],[1.5877883],[1.63190029]
1747685986.6209364,[1.72969888],[1.60774505],[1.63190302]
1747685986.7939,[1.72841678],[1.62870017],[1.63190323]
1747685987.0145683,[1.72725679],[1.64765956],[1.6319033]
1747685987.1963325,[1.72603574],[1.66761681],[1.6319035]
1747685987.409238,[1.72481469],[1.68757406],[1.6319038]
1747685987.6094801,[1.7235326],[1.70852888],[1.63190223]
1747685987.7948442,[1.72237269],[1.72748755],[1.63190138]
1747685988.09834,[1.72115174],[1.74744391],[1.63190105]
1747685988.22554,[1.71993078],[1.76740064],[1.63190102]
1747685988.4006116,[1.71895166],[1.78937117],[1.60835889]
1747685988.5980725,[1.71841889],[1.8073569],[1.59824733]
1747685988.7971165,[1.71829592],[1.82735007],[1.56712788]
1747685988.9973788,[1.71854524],[1.84734273],[1.54872447]
1747685989.199944,[1.71914876],[1.86732783],[1.53942923]
1747685989.4075184,[1.72012186],[1.88729841],[1.52107039]
1747685989.6095495,[1.72155153],[1.90824366],[1.49348538]
1747685989.833493,[1.72326342],[1.92816361],[1.48438687]
1747685990.0020227,[1.72543224],[1.94803917],[1.45357024]
1747685990.2817235,[1.72783872],[1.96687991],[1.43212526]
1747685990.420708,[1.73082311],[1.98664962],[1.41003502]
1747685990.598169,[1.73427417],[2.00634324],[1.3997395]
1747685990.8064032,[1.73829895],[2.02694777],[1.36725385]
1747685991.0172184,[1.74230086],[2.04551628],[1.34751396]
1747685991.2054038,[1.74717043],[2.06593749],[1.33697125]
1747685991.4185324,[1.75177306],[2.08539556],[1.33733372]
1747685991.5928693,[1.75616724],[2.10387548],[1.33734009]
1747685991.7952921,[1.76079285],[2.12332786],[1.33734065]
1747685991.9888964,[1.76541835],[2.14277984],[1.33734242]
1747685992.2177305,[1.77027506],[2.16320434],[1.33734414]
1747685992.4236655,[1.77490043],[2.18265601],[1.33734458]
1747685992.6097162,[1.7792945],[2.20113507],[1.33734502]
1747685992.9100015,[1.78391984],[2.2205867],[1.33734515]
1747685993.0097234,[1.78646381],[2.23128522],[1.33734441]
1747685993.2008224,[1.79340195],[2.26046302],[1.33734297]
1747685993.3975852,[1.79779619],[2.27894254],[1.33734221]
1747685993.5881093,[1.80242179],[2.29839505],[1.33734234]
1747685993.8274074,[1.8070474],[2.31784755],[1.33734244]
1747685994.0601382,[1.81190425],[2.33827256],[1.33734288]
1747685994.2138133,[1.81328519],[2.35720232],[1.3373651]
1747685994.431521,[1.81814493],[2.37762662],[1.33734672]
1747685994.6233888,[1.82253901],[2.39610573],[1.33734684]
1747685994.8121579,[1.8271643],[2.4155573],[1.33734727]
1747685995.0355773,[1.83178959],[2.43500891],[1.33734743]
1747685995.300375,[1.83664623],[2.45543345],[1.33470396]
1747685995.418338,[1.84169407],[2.47581252],[1.33470396]
1747685995.6164439,[1.84628221],[2.49321234],[1.3113397]
1747685995.8043935,[1.85182592],[2.51242317],[1.29287305]
1747685996.0132132,[1.85771391],[2.53153103],[1.27471594]
1747685996.189866,[1.86391318],[2.5505393],[1.25527643]
